	Computational note:																					
	  For some numerical combinations with very large half-lives the numerical																					
	  precision is inadequate and you get negative results. This can be																					
	  corrected by reformulation or approximations but has not been done.																					
	"  Remember, the X in EXP(X) is limited to |X|<709"																					
																						
	**********************************************************************																					
	WARNING: If you SORT this table take care to include all columns!!!																					
	   Otherwise all is lost and you have no means to unscramble your action																					
	"WARNING: A relative reference is used in the daughter nuclide entry. That is, the parent must be on the line directly above the daughter!"																					
	"    DO NOT change the order of the parent daughter pairs, upon pain of erroneous results"																					
	"    This caution applies to both ""b"" and ""2n"" mode production."																					
	**********************************************************************																					
																						
	Notes:																					
	Simplifications have been made as indicated in the comments column.																					
	"Typically, for a decay chain where the daughter is also produced (isomers)"																					
	  the s of the parent has been added to that of the daughter when the																					
	  daughter t1/2 is much longer (true for most cases) and the parent																					
	"  t1/2 is relatively short, e.g. less than 1 day, so that allthe daughter"																					
	  will be made relatively promptly.																					
	In cases where the above condition is not met an * is put next to the																					
	  nuclide name to warn that the daughter production has not been accounted																					
	  for. In most cases the daughter is in a simple decay equilibrium.																					
	Where the decay product is a new nuclide a line has been added to the																					
	  database to account for this. This production mode is indicated in																					
	  the reaction column by 'b'. Where both m and g state contribute to daughter																					
	"  production it is simplified to a single parent, that with the greater"																					
	  cross-section or that with the longer half-life together with the sum of the cross-sections.																					
	In a few cases where the parent nuclide t1/2 is very short all production																					
	"  is assigned to the daughter and no entry is made for the parent, as"																					
	  noted in the comments column.																					
	No correction for neutron burn up has been made																					
	Most cross-section data is from IAEA 273.																					
	"Fast neutron data from NBSIR 85-3151, Compendium of Benchmark Neutron Fields"																					
	"  is for reaction above the Cd cutooff, .4eV. Noted in comment column"																					
	Fast neutron reaction data from IAEA 273 has been weighted by a unit fluence																					
	"  fast maxwellian spectrum as described in NBSIR 85-3151, but no further"																					
	  weighting for a 1/v or thermal component has been made. Only selected																					
	  reactions have been included.																					
																						
																						
	fast? : identifies fast neutron reactions so fast fluence reduction factor can be applied.																					
	"isomer : identifies isomers, and is used to flag radioactive daughter info"																					
	%IT : Info only. Not used in any spreadsheet calculation.																					
	Resonance: the cross-section above the nominal Cd cutoff.																					
	          Basically useful if you already know the answer.																					
																						
																						
							Notation on nuclide name															
							"m,m1,m2 indicate metastable states. Decay may be the ground state or another nuclide."															
							+ indicates radioactive daughter production already included in daughter listing															
							   several parent t1/2's required to acheive calculated daughter activity. All act. assigned at end of irradiation.															
							   In most cases the added activity to the daughter is small.															
							"* indicates radioactive daughter production NOT calculated, approx secular equilibrium"															
							s indicates radioactive daughter of this nuclide in secular equilibrium after several daughter t1/2's															
							t indicates transient equil via beta decay. Accumulation of that nuclide during irradiation is separately calculated.															
							Reaction = b indicates production via decay from an activation produced parent															
																			|..............|			
	   Target Element					Isotopic					    Reaction			  Cross-section					b or 2n mode production			
	Index		Symbol			  %	Resulting		t1/2	 isomer		^		 Thermal		Resonance		t1/2	t1/2 of	Cross-section (b) of 2n precursor		
		 Z	^	  A		Abund	Nuclide	 t1/2	unit	 ^	 %IT	  fast		  (b)	g(T)	  (b)	t1/2	as text	 parent	& burnup X-sect of 2n parent		
													?				in hr			thermal	resonance	  Comments
H	1	1	H	2	H-2	0.015	H-3	12.346	y			act	n	0.000519		0.0006298	108150.96	12.346y				
He	2	2	He	3	He-3	0.00013	H-3	12.346	y			"n,p"	n	5333		2401	108150.96	12.346y				
Li	3	3	Li	7	Li-7	92.5	Li-8	0.844	s			act	n	0.0454		0.01756	0.000234444	0.844 s				
Li	4	3	Li	6	Li-6	7.5	H-3	12.346	y			"n,a"	n	940		425.5	108150.96	12.346y				
Be	5	4	Be	9	Be-9	100	Be-10	1600000	y			act	n	0.0076		0.004	14016000000	1.6 My				
Be	6	4	Be	9	Be-9	100	He-6	0.805	s			"n,a"	y	0.0328			0.000223611	0.805 s				IAEA156
B	7	5	B	11	B-11	80	B-12	0.0203	s			act	n	0.0055		0.0757	5.63889E-06	0.020 s				
B	8	5	B	11	B-11	80	Li-8	0.844	s			"n,a"	y	0.00014			0.000234444	0.844 s				IAEA156
C	9	6	C	12	C-12	98.9	C-11	20.3	m			"n,2n"	y	4.2E-10			0.338333333	20.30 m				IAEA156
C	10	6	C	13	C-13	1.11	C-14	5736	y			act	n	0.00137		0.0017	50247360	5736 y				
N	11	7	N	14	N-14	99.64	C-14	5736	y			"n,p"	n	0.00183			50247360	5736 y				
N	12	7	N	15	N-15	0.36	N-16	7.14	s			act	n	0.000024		0.00011	0.001983333	7.14 s				
O	13	8	O	16	O-16	99.75	N-16	7.14	s			"n,p"	y	0.000019			0.001983333	7.14 s				IAEA156
O	14	8	O	16	O-16	99.75	O-15	122	s			"n,2n"	y	5.3E-10			0.033888889	122 s				IAEA156
O	15	8	O	17	O-17	0.039	C-14	5736	y			"n,a"	n	0.235			50247360	5736 y				
O	16	8	O	17	O-17	0.039	N-17	4.17	s			"n,p"	y	0.0000086			0.001158333	4.2 s				IAEA156
O	17	8	O	18	O-18	0.205	O-19	27.1	s			act	n	0.00016		0.00087	0.007527778	27.1 s				
F	18	9	F	19	F-19	100	F-20	11	s			act	n	0.0096		0.039	0.003055556	11.0 s				
F	19	9	F	19	F-19	100	O-19	26.9	s			"n,p"	y	0.00135			0.007472222	26.9 s				IAEA156
F	20	9	F	19	F-19	100	N-16	7.14	s			"n,a"	y	0.00785			0.001983333	7.1 s				IAEA156
F	21	9	F	19	F-19	100	F-18	109.8	m			"n,2n"	y	0.0000073			1.83	110 m				
Ne	22	10	Ne	22	Ne-22	9.23	Ne-23	38	s			act	n	0.0455		0.023	0.010555556	38.0 s				
Na	23	11	Na	23	Na-23	100	Na-24m+	0.02	s	m+		act	n	0.4			5.55556E-06	0.020 s				
Na	24	11	Na	23	Na-23	100	Na-24	15.03	h	g		act	n	0.53		0.32	15.03	15.0 h				s for .02s isomer added to ground state
Na	25	11	Na	23	Na-23	100	Na-22	2.602	y			"n,2n"	y	0.0000022			22793.52	2.602 y				"IAEA156, fission averaged"
Na	26	11	Na	23	Na-23	100	Ne-23	37.2	s			"n,p"	y	0.0015			0.010333333	37.2 s				IAEA156
Na	27	11	Na	23	Na-23	100	F-20	11	s			"n,a"	y	0.000765			0.003055556	11.0 s				IAEA156
Mg	28	12	Mg	25	Mg-25	10	Na-25	59.3	s			"n,p"	y	0.0032			0.016472222	59.3 s				IAEA156
Mg	29	12	Mg	26	Mg-26	11.01	Mg-27	9.46	m			act	n	0.035		0.027	0.157666667	9.46 m		0.07		
Mg	30	12	Mg	26	Mg-26	11.01	Mg-28	21	h			2n	n	0.035		0.027	21	21.0 h	0.157666667	0.07		
Mg	31	12	Mg	24	Mg-24	78.99	Na-24	15.03	h			"n,p"	y	0.00153			15.03	15.03 h				"IAEA156, fission averaged, an adopted std."
Al	32	13	Al	27	Al-27	100	Al-28	2.246	m			act	n	0.232		0.175	0.037433333	2.25 m				
Al	33	13	Al	27	Al-27	100	Na-24	15.03	h			"n,a"	y	0.000725			15.03	15.03 h				"from NBSIR 85-3151, IAEA 156"
Al	34	13	Al	27	Al-27	100	Mg-27	9.458	m			"n,p"	y	0.004			0.157633333	9.458 m				"IAEA156, fission averaged"
Si	35	14	Si	28	Si-28	92.23	Al-28	2.25	m			"n,p"	y	0.0064			0.0375	2.250 m				"IAEA156, fission averaged"
Si	36	14	Si	29	Si-29	4.67	Al-29	6.5	m			"n,p"	y	0.0033			0.108333333	6.5 m				"IAEA156, fission averaged"
Si	37	14	Si	30	Si-30	3.1	Si-31	2.62	h			act	n	0.107		0.66	2.62	2.62 h		0.18		
Si	38	14	Si	30	Si-30	3.1	Si-32	100	y			2n	n	0.107		0.66	876000	100 y	2.62	0.18		
