#F f0_CromerMann.dat  
#UT Parametrization of f0 (the non-dispersive part of the atomic scattering factor) vs sin(theta/lambda).
#UIDL xf0
#U3W Sheet_f0
#C This file has been created using f0_CromerMann.tcl on 
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/expg/subgroups/theory/DABAX/dabax.html
#UD  Parametrization of f0 (the non-dispersive part of the atomic scattering factor) vs sin(theta/lambda).
#UD 
#UD  fo, the non-dispersive part of the atomic scattering factor, is a
#UD  function of the selected element and of sin(theta)/lambda, where
#UD  lambda is the photon wavelengh and theta is incident angle.
#UD  This function can be approximated by a function:
#UD 
#UD    f0[k] = c + [SUM a_i*EXP(-b_i*(k^2)) ]
#UD                i=1,4
#UD 
#UD  where k = sin(theta) / lambda and c, a_i and b_i
#UD  are the so called Cromer-Mann coefficients (see International
#UD  Tables vol. 4 or vol C; in vol. C refer to pg 500-502) and 
#UD  tabulated in this file (in columns) :  a1 a2 a3 a4 c b1 b2 b3 b4		
#UD  Note, this is only good out to sin(theta)/lambda < 2.0 [Angstrom^-1].
#UD  (For a valid parametrization when sin(theta)/lambda > 2.0 see the DABAX
#UD  file f0_WaasKirf.dat). 
#UD  After that, there is another functional fit which can be found on page
#UD  487 (eq 6.1.1.16) in vol C.
#UD  The coeffients for the k <  2.0 case are stored in the file
#UD  f0_CromerMann.txt.
#UD 
#UD  The f0_CromerMann table has been created by using a program of John 
#UD  Quintana (jpq@radish.dnd.nwu.edu) which reads in a block of the program
#UD  Lazy-pulverix.
#UD  The International Tables has 212 atoms in its list.  Lazy-pulverix
#UD  has 214 including a dummy at the end (i.e. 214) and O2- which isn't
#UD  included in the International Tables. (no. 213).
#UD  Lazy-Pulverix is  a programme to calculate theoretical x-ray and
#UD  neutrondiffraction powder patterns from Klaus Yvon, Wolfgang Jeitschko
#UD  and  Erwin Parthe from the
#UD
#UD         LABORATOIRE DE CRISTALLOGRAPHIE AUX RAYONS-X
#UD         UNIVERSITE DE GENEVE
#UD         24 QUAI ERNEST ANSERMET
#UD         CH 1211 GENEVA 4  SWITZERLAND
#UD         TELEPHONE    (022) 21 93 55 
#UD
#UD Modifications:
#UD 98/10/09 Bug fixed: the symbols SS were PP exchanged. 
#UD          Pointed out by Daniel Luebbert.
#UD 
#UD      
#S 1 H   
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
0.4930020   0.3229120   0.1401910   4.0810000E-02   3.0380001E-03  10.51090   26.12570   3.142360  57.79970
#S 1 H.  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
0.4899180   0.2620030   0.1967670   4.9879000E-02   1.3050000E-03  20.65930   7.740390   49.55190  2.201590
#S 1 H1- 
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
0.8976610   0.5656160   0.4158150   0.1169730   2.3890000E-03  53.13680   15.18700   186.5760  3.567090
#S 2 He  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
0.8734000   0.6309000   0.3112000   0.1780000   6.3999998E-03  9.103700   3.356800   22.92760  0.9821000
#S 3 Li  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
1.128200   0.7508000   0.6175000   0.4653000   3.7700001E-02  3.954600   1.052400   85.39050  168.2610
#S 3 Li1+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
0.6968000   0.7888000   0.3414000   0.1563000   1.6700000E-02  4.623700   1.955700   0.6316000  10.09530
#S 4 Be  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
1.591900   1.127800   0.5391000   0.7029000   3.8500000E-02  43.64270   1.862300   103.4830  0.5420000
#S 4 Be2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
6.260300   0.8849000   0.7993000   0.1647000   -6.109200  2.7000001E-03   0.8313000   2.275800  5.114600
#S 5 B   
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
2.054500   1.332600   1.097900   0.7068000   -0.1932000  23.21850   1.021000   60.34980  0.1403000
#S 6 C   
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
2.310000   1.020000   1.588600   0.8650000   0.2156000  20.84390   10.20750   0.5687000  51.65120
#S 6 C.  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
2.260690   1.561650   1.050750   0.8392590   0.2869770  22.69070   0.6566650   9.756180  55.59490
#S 7 N   
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
12.21260   3.132200   2.012500   1.166300   -11.52900  5.7000001E-03   9.893300   28.99750  0.5826000
#S 8 O   
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
3.048500   2.286800   1.546300   0.8670000   0.2508000  13.27710   5.701100   0.3239000  32.90890
#S 8 O1- 
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
4.191600   1.639690   1.526730   -20.30700   21.94120  12.85730   4.172360   47.01790  -1.4040000E-02
#S 8 O2-.
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
4.758000   3.637000   0.000000   0.000000   1.594000  7.831000   30.05000   0.000000  0.000000
#S 9 F   
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
3.539200   2.641200   1.517000   1.024300   0.2776000  10.28250   4.294400   0.2615000  26.14760
#S 9 F1- 
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
3.632200   3.510570   1.260640   0.9407060   0.6533960  5.277560   14.73530   0.4422580  47.34370
#S 10 Ne  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
3.955300   3.112500   1.454600   1.125100   0.3515000  8.404200   3.426200   0.2306000  21.71840
#S 11 Na  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
4.762600   3.173600   1.267400   1.112800   0.6760000  3.285000   8.842200   0.3136000  129.4240
#S 11 Na1+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
3.256500   3.936200   1.399800   1.003200   0.4040000  2.667100   6.115300   0.2001000  14.03900
#S 12 Mg  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
5.420400   2.173500   1.226900   2.307300   0.8584000  2.827500   79.26110   0.3808000  7.193700
#S 12 Mg2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
3.498800   3.837800   1.328400   0.8497000   0.4853000  2.167600   4.754200   0.1850000  10.14110
#S 13 Al  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
6.420200   1.900200   1.593600   1.964600   1.115100  3.038700   0.7426000   31.54720  85.08860
#S 13 Al3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
4.174480   3.387600   1.202960   0.5281370   0.7067860  1.938160   4.145530   0.2287530  8.285240
#S 14 Si  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
6.291500   3.035300   1.989100   1.541000   1.140700  2.438600   32.33370   0.6785000  81.69370
#S 14 Si. 
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
5.662690   3.071640   2.624460   1.393200   1.247070  2.665200   38.66340   0.9169460  93.54580
#S 14 Si4+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
4.439180   3.203450   1.194530   0.4165300   0.7462970  1.641670   3.437570   0.2149000  6.653650
#S 15 P   
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
6.434500   4.179100   1.780000   1.490800   1.114900  1.906700   27.15700   0.5260000  68.16450
#S 16 S   
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
6.905300   5.203400   1.437900   1.586300   0.8669000  1.467900   22.21510   0.2536000  56.17200
#S 17 Cl  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
11.46040   7.196400   6.255600   1.645500   -9.557400  1.0400000E-02   1.166200   18.51940  47.77840
#S 17 Cl1-
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
18.29150   7.208400   6.533700   2.338600   -16.37800  6.6000000E-03   1.171700   19.54240  60.44860
#S 18 Ar  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
7.484500   6.772300   0.6539000   1.644200   1.444500  0.9072000   14.84070   43.89830  33.39290
#S 19 K   
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
8.218600   7.439800   1.051900   0.8659000   1.422800  12.79490   0.7748000   213.1870  41.68410
#S 19 K1+ 
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
7.957800   7.491700   6.359000   1.191500   -4.997800  12.63310   0.7674000   -2.0000001E-03  31.91280
#S 20 Ca  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
8.626600   7.387300   1.589900   1.021100   1.375100  10.44210   0.6599000   85.74840  178.4370
#S 20 Ca2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
15.63480   7.951800   8.437200   0.8537000   -14.87500  -7.4000000E-03   0.6089000   10.31160  25.99050
#S 21 Sc  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
9.189000   7.367900   1.640900   1.468000   1.332900  9.021300   0.5729000   136.1080  51.35310
#S 21 Sc3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
13.40080   8.027300   1.659430   1.579360   -6.666700  0.2985400   7.962900   -0.2860400  16.06620
#S 22 Ti  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
9.759500   7.355800   1.699100   1.902100   1.280700  7.850800   0.5000000   35.63380  116.1050
#S 22 Ti2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
9.114230   7.621740   2.279300   8.7898999E-02   0.8971550  7.524300   0.4575850   19.53610  61.65580
#S 22 Ti3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
17.73440   8.738160   5.256910   1.921340   -14.65200  0.2206100   7.047160   -0.1576200  15.97680
#S 22 Ti4+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
19.51140   8.234730   2.013410   1.520800   -13.28000  0.1788470   6.670180   -0.2926300  12.94640
#S 23 V   
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
10.29710   7.351100   2.070300   2.057100   1.219900  6.865700   0.4385000   26.89380  102.4780
#S 23 V2+ 
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
10.10600   7.354100   2.288400   2.2299999E-02   1.229800  6.881800   0.4409000   20.30040  115.1220
#S 23 V3+ 
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
9.431410   7.741900   2.153430   1.6865000E-02   0.6565650  6.395350   0.3833490   15.19080  63.96900
#S 23 V5+ 
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
15.68870   8.142080   2.030810   -9.576000   1.714300  0.6790030   5.401350   9.972780  0.9404640
#S 24 Cr  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
10.64060   7.353700   3.324000   1.492200   1.183200  6.103800   0.3920000   20.26260  98.73990
#S 24 Cr2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
9.540340   7.750900   3.582740   0.5091070   0.6168980  5.660780   0.3442610   13.30750  32.42240
#S 24 Cr3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
9.680900   7.811360   2.876030   0.1135750   0.5182750  5.594630   0.3343930   12.82880  32.87610
#S 25 Mn  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
11.28190   7.357300   3.019300   2.244100   1.089600  5.340900   0.3432000   17.86740  83.75430
#S 25 Mn2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
10.80610   7.362000   3.526800   0.2184000   1.087400  5.279600   0.3435000   14.34300  41.32350
#S 25 Mn3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
9.845210   7.871940   3.565310   0.3236130   0.3939740  4.917970   0.2943930   10.81710  24.12810
#S 25 Mn4+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
9.962530   7.970570   2.760670   5.4446999E-02   0.2518770  4.848500   0.2833030   10.48520  27.57300
#S 26 Fe  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
11.76950   7.357300   3.522200   2.304500   1.036900  4.761100   0.3072000   15.35350  76.88050
#S 26 Fe+2
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
11.04240   7.374000   4.134600   0.4399000   1.009700  4.653800   0.3053000   12.05460  31.28090
#S 26 Fe3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
11.17640   7.386300   3.394800   7.2400004E-02   0.9707000  4.614700   0.3005000   11.67290  38.55660
#S 27 Co  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
12.28410   7.340900   4.003400   2.348800   1.011800  4.279100   0.2784000   13.53590  71.16920
#S 27 Co2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
